"Date","IP","INFL","RM","FFR"
1970 Mar,-0.129857808132083,0.52356140539449,-0.351539975334614,7.76
1970 Apr,-0.257574657866932,0.520834510713852,-0.333148559100405,8.1
1970 May,-0.116576068480478,0.259403517704637,0.267912729270403,7.95
1970 Jun,-0.323946263973962,0.516797015844261,0.104356910070713,7.61
1970 Jul,0.245180521671839,0.257400399517271,0.396864643721795,7.21
1970 Aug,-0.178446764278295,0.256739550524587,0.705253481211976,6.62
1970 Sep,-0.691560708496564,0.511510066677046,0.527298501681184,6.29
1970 Oct,-2.02079506410482,0.508906950747123,0.339341491558631,6.2
1970 Nov,-0.607556584396507,0.50633019565467,0.248970730923936,5.6
1970 Dec,2.27069805145899,0.503779402995708,0.362768894259879,4.9
1971 Jan,0.766287274556898,0.250941160542606,0.765753828844407,4.14
1971 Feb,-0.190754980453267,0,1.27166809066939,3.72
1971 Mar,-0.108479006859818,0.250313021811843,1.12652837797915,3.71
1971 Apr,0.560098608166415,0.249688019858718,1.05309244822775,4.16
1971 May,0.506208015903153,0.497513464011368,0.752385079498818,4.63
1971 Jun,0.418354881015182,0.495050515985618,0.446321609419709,4.91
1971 Jul,-0.29068330997899,0.246609249519381,0.731505840140656,5.31
1971 Aug,-0.582053927294535,0.246002584086247,0.619381409576558,5.57
1971 Sep,1.61224310954631,0.245398896156646,0.768870596314564,5.55
1971 Oct,0.745756013844057,0.24479816386398,0.605012271632166,5.2
1971 Nov,0.423404097190394,0.244200365555214,0.636294140608129,4.91
1971 Dec,1.14772943372019,0.243605479788123,0.562858711741043,4.14
1972 Jan,2.3685131706185,0.243013485329158,0.795347400514945,3.51
1972 Feb,0.999669477839671,0.484262447578798,0.623768081605292,3.3
1972 Mar,0.705913082887211,0,1.06679783778905,3.83
1972 Apr,0.986246778137057,0.241254640538369,0.42804909063987,4.17
1972 May,0.00801407563533196,0.24067400305654,0.420628196517292,4.27
1972 Jun,0.259987341105727,0.240096153753822,0.613738466133551,4.46
1972 Jul,-0.0942643032268542,0.239521072595439,1.06230942568724,4.55
1972 Aug,1.37196246224534,0.238948739738154,0.963968467938425,4.81
1972 Sep,0.762795105426362,0.476191376024371,0.765621528284477,4.87
1972 Oct,1.28064038814006,0.237248035363047,0.861749287164759,5.05
1972 Nov,1.17209404784018,0.472814119594611,0.412084819586767,5.06
1972 Dec,1.11730432999591,0.235571369245902,0.81910994649288,5.33
1973 Jan,0.726476105206153,0.469484430420763,0.523049666908904,5.94
1973 Feb,1.44470316675678,0.700119545898348,-0.232128830162992,6.58
1973 Mar,0.0367418908732375,0.925932541279684,-0.77945196978888,7.09
1973 Apr,-0.147945932582427,0.688866099518526,-0.154489549411885,7.12
1973 May,0.658914296160695,0.456621797958112,0.409673100966756,7.84
1973 Jun,0.120936100129843,0.68104690025268,0.100830533657437,8.49
1973 Jul,0.367034038272385,0,0.381174689906594,10.4
1973 Aug,-0.136702690763402,1.79377006866672,-1.51739900660672,10.5
1973 Sep,0.797821569974388,0.443459706786609,-0.381628563898673,10.78
1973 Oct,0.79653371263384,0.881062968215485,-0.49126883699051,10.01
1973 Nov,0.450091693907284,0.655740054615883,0.0919590035864282,10.03
1973 Dec,-0.279978874007725,0.86768440256888,-0.0973709911401777,9.95
1974 Jan,-0.661985872272552,1.0741241831413,-0.58078161459818,9.65
1974 Feb,-0.289240357860177,1.0627092574286,-0.54037957975055,8.97
1974 Mar,-0.0165218435669079,1.05153439995229,-0.372868776576674,9.35
1974 Apr,-0.303827195771644,0.625653761430556,-0.302605386204391,10.51
1974 May,0.804436970918321,1.03413537947326,-0.841085082279225,11.31
1974 Jun,-0.182329056730213,0.819676720417828,-0.456698092592145,11.93
1974 Jul,0.184740330090882,0.610378293801794,-0.201162338734306,12.92
1974 Aug,-1.05443090102231,1.20969217088285,-0.904627604736064,12.01
1974 Sep,0.0141767620955857,1.3930573535947,-0.96416354893023,11.34
1974 Oct,-0.313242737312658,0.787405643090588,-0.17682461898465,10.06
1974 Nov,-3.35313272306417,0.975617494536474,-0.383240852305811,9.45
1974 Dec,-3.66211016583131,0.773698250215249,-0.384715240082478,8.53
1975 Jan,-1.39345474378807,0.767758089903436,-0.30537893571605,7.13
1975 Feb,-2.31013728915412,0.571974867278691,0.282363975890654,6.24
1975 Mar,-1.09371971448149,0.379507096855169,0.808096783667001,5.54
1975 Apr,0.185116075141778,0.378072283990605,0.705309789224362,5.49
1975 May,-0.284685782157146,0.18850146957714,1.17204249194867,5.22
1975 Jun,0.630764220630065,0.750472565406746,0.831222883075,5.55
1975 Jul,1.02396729569652,0.93023926623137,0.316166333757817,6.1
1975 Aug,0.984095223634496,0.369686188132601,0.447576379163284,6.14
1975 Sep,1.28905906168,0.735297430525872,0.115712055228379,6.24
1975 Oct,0.426738909592972,0.547946576462532,0.0880717841923229,5.82
1975 Nov,0.13865193765632,0.725956001280448,0.181403452433759,5.22
1975 Dec,1.3418170466434,0.541029272824733,0.3782380828385,5.2
1976 Jan,1.3256814833662,0.35906681307285,0.659852428266028,4.87
1976 Feb,0.994620138530733,0.179051077378833,1.14571075991936,4.77
1976 Mar,0.213627776795811,0.178731057409642,0.749468176226031,4.84
1976 Apr,0.497384366504328,0.178412179350129,0.844424678266265,4.82
1976 May,0.424695089193827,0.533334597536239,0.527455202493421,5.29
1976 Jun,0.107601411023728,0.530505222969335,-0.021044878280474,5.48
1976 Jul,0.553499402226088,0.527705710084359,0.278485848478471,5.31
1976 Aug,0.687593668046249,0.524935588614373,0.612038632732315,5.29
